0, 0
1, -0
2, -0
3, -0
4, -0
5, -0
6, -0
7, -0
8, -0
9, -0
10, -0
11, -0
12, -0
13, -0
14, -0
15, -0
16, -0
17, -0
18, -0
19, -0
20, -0
21, -0
22, -0
23, -0
24, -0
25, 2.23502
26, 7.88049
27, 7.83074
28, 6.52124
29, 5.01791
30, -2.44578
31, 6.33525
32, -0
33, -0
34, -0
35, -0
36, -0
37, -0
38, -0
39, -0
40, -0
41, -0
42, -0
43, -0
44, -0
45, -0
46, -0
47, -0
48, -0
49, -0
50, -0
51, -0
52, -0
53, -0
54, -0
55, -0
56, -1.44894
57, 16.5592
58, 0.255027
59, 0.155249
60, -0
61, -0
62, -0
63, -0
64, -0
65, -0
66, -0
67, -0
68, -1.25502
69, -4.42945
70, -11.0013
71, -1.57078
72, -0
73, -0
74, -0
75, -0
76, -4.10886
77, 1.11056
78, 21.3503
79, -0
80, -0
81, -0
82, -0
83, -0
84, -4.94583
85, -3.79882
86, -0.61035
87, -2.40294
88, -1.77714
89, -6.26364
90, -10.4002
91, -7.64388
92, -0
93, -0
94, -0
95, -0
96, 1.44673
97, -1.65929
98, -4.15602
99, 3.51105
100, -0.213056
101, 0.474134
102, -7.9841
103, 29.3427
104, -7.28765
105, -9.65385
106, -2.96992
107, -9.05372
108, -0
109, -0
110, -0
111, -0
112, -0
113, -0
114, -0
115, -0
116, -8.7389
117, -6.54622
118, -10.8236
119, -0
